Location,Details,Space,Bedrooms,Bathrooms,Description,Price
التجمع الخامس,شقه للايجار مفروش,205,3,3,٣ غرف نوم | ٣ حمّامات ,25000
حلمية النعام,"شقة 185 متر صافى جهزة على الفرش حتى الكهرباء راكبه والرخام تفرش فقط
3 حجرات منهم حجرة ماستر بالحمام",185,3,2,٣ غرف نوم | حمّامين ,1100000
النزهة,شقة بالنزهة الجديدة!,156,3,1,٣ غرف نوم | حمّام ,1750000
التجمع الخامس,شقه للبيع في ڤيلات تمر حنه التجمع الخامس,300,3,3,٣ غرف نوم | ٣ حمّامات ,4000000
مدينتي,شقق للبيع في مدينتي باقل اوفر 150 ااف,130,3,3,٣ غرف نوم | ٣ حمّامات ,1000000
التجمع الخامس,أمتلك شقتك او فيلتك في أرقى مكان بالقاهره الجديده وبالتقسيط المريح على 8 سنين بقسط يبدا من 19900,140,3,2,٣ غرف نوم | حمّامين ,19900
المعادي,شقة دوبلكس للبيع,140,3,2,٣ غرف نوم | حمّامين ,850000
القطامية,افضل سعر كمبوند في مصر وتسليم فوري وتقسيط على 5 سنين,120,2,2,٢ غرفتا نوم | حمّامين ,735000
شبرا,شقة للبيع في أرقى مناطق الخلفاوي,128,3,1,٣ غرف نوم | حمّام ,1000000
مصر الجديدة,بيع شقه مصر الجديده بطرس غالي,289,1,3,أكثر من 6 غرف | ٣ حمّامات ,5000000
مدينة نصر,شقه للبيع في مكرم عبيد,170,3,2,٣ غرف نوم | حمّامين ,3600000
التجمع الخامس,روف للبيع بعمارات النرجس التجمع الخامس بسعر مناسب جدا,450,2,1,٢ غرفتا نوم | حمّام ,2500000
مدينة نصر,شقه للبيع في مدينه نصر,200,2,2,٢ غرفتا نوم | حمّامين ,3100000
العباسية,شقه للبيع بالعباسيه,120,2,1,٢ غرفتا نوم | حمّام ,900000
التجمع الخامس,شقه في فيلا للايجار او للبيع,100,2,1,٢ غرفتا نوم | حمّام ,2250000
مصر الجديدة,اسامه مسعود,265,3,2,٣ غرف نوم | حمّامين ,1350000
مدينة نصر,شقة للبيع تطل على جنينة مول وعباس العقاد,220,4,2,٤ غرف نوم | حمّامين ,2850000
زهراء المعادي,شقه للبيع  في افضل مكان في زاهرء المعادي الشطر السابع,166,3,2,٣ غرف نوم | حمّامين ,2300000
مدينة نصر,"الحى السابع مدينه نصر 
عمارات الفتح",116,2,2,٢ غرفتا نوم | حمّامين ,1300000
التجمع الخامس,شقه بسعر لقطه في التجمع الخامس بسعر مميز,100,2,2,٢ غرفتا نوم | حمّامين ,200250
شبرا,للبيع شقه على شارع شبرا الرئيسي اغاخان تمويل  عقاري,150,2,1,٢ غرفتا نوم | حمّام ,3000000
مدينة نصر,"ش مكه من حسنى مبارك بجوار مخبز سدره 
زهراء مدينه نصر خلف السلاب",130,2,1,٢ غرفتا نوم | حمّام ,450000
حدائق القبة,شقه 180 م للبيع,180,4,2,٤ غرف نوم | حمّامين ,1700000
العاصمة الإدارية الجديدة,العاصمه الاداريه الجديده,183,3,2,٣ غرف نوم | حمّامين ,400000
شيراتون,شقه 155م للبيع / ارضى مرتفع / شيراتون مصر للتعمير,155,3,2,٣ غرف نوم | حمّامين ,2700000
التجمع الخامس,شقة في التجمع للبيع من المراسم,134,2,2,٢ غرفتا نوم | حمّامين ,900000
القاهرة الجديدة,للبيع شقه ارضي بجاردن بسعر مميز,111,2,2,٢ غرفتا نوم | حمّامين ,0
المقطم,"امتلك شقتك في اميز كمبوند علي محور ياسر رزق بمقدم 270,000 الف علي اميز ڤيو بحيرات صناعيه",94,2,2,٢ غرفتا نوم | حمّامين ,1300000
مدينة نصر,شقه دوبلكس فاخره للبيع او للايجار مساحةً 370 متر,370,3,3,٣ غرف نوم | ٣ حمّامات ,6000000
العاصمة الإدارية الجديدة,فرصه للاستثمار في العاصمه الاداريه,119,2,2,٢ غرفتا نوم | حمّامين ,200000
مدينة نصر,"شقتك في مدينه نصر 
جاهزه للاستلام",164,3,3,٣ غرف نوم | ٣ حمّامات ,1400000
العاصمة الإدارية الجديدة,شقة 99 متر فيو لاجون و على اكبر حمام سباحه بمقدم 10٪؜ فقط,99,2,1,٢ غرفتا نوم | حمّام ,2584989
القطامية,كمبوند متكامل الخدمات علي طريق الدائري,100,3,2,٣ غرف نوم | حمّامين ,0
المقطم,شقة للبيع في المقطم الهضبة العليا اول نمرة,210,3,3,٣ غرف نوم | ٣ حمّامات ,2300000
العاصمة الإدارية الجديدة,استلم شقتك فوري في العاصمه الاداريه بخصومات تصل ل 35%,154,3,2,٣ غرف نوم | حمّامين ,0
مدينة الرحاب,شقة 168م للبيع في الرحاب 1 بالمرحلة الرابعة تشطيبات,168,3,3,٣ غرف نوم | ٣ حمّامات ,5600000
الدائري,شقق للبيع فى عقار مميز على الناصيه بشارع رئيسى,280,3,1,٣ غرف نوم | حمّام ,5
مدينة الرحاب,شقة 168م للبيع في مدينة الرحاب تشطيبات خاصة بالمرحلة الرابعة وايد جاردن,168,3,3,٣ غرف نوم | ٣ حمّامات ,6100000
مصر الجديدة,شقة للبيع.,300,1,3,أكثر من 6 غرف | ٣ حمّامات ,0
مدينتي,شقق للبيع في مدينتي بأقل الاسعار,116,3,2,٣ غرف نوم | حمّامين ,0
القطامية,شقه للبيع في كمباوند مكاني القطامية,0,2,2,٢ غرفتا نوم | حمّامين ,2250000
التجمع الخامس,شقة للبيع 130م كمبوند دار مصر الاندلس خالصة الاقساط,130,3,2,٣ غرف نوم | حمّامين ,2000000
التجمع الخامس,شقه لقطه للبيع فى التجمع خلف بونت 90,250,3,2,٣ غرف نوم | حمّامين ,4400000
حدائق القبة,حدائق القبه مساكن السعوديه شقه للبيع,145,3,1,٣ غرف نوم | حمّام ,1850000
كورنيش النيل,شقة للبيع كورنيش حدائق حلوان,95,2,1,٢ غرفتا نوم | حمّام ,550000
التجمع الخامس,شقة للبيع علي فيو مفتوح و جاردن كبير بحري صريح,170,3,2,٣ غرف نوم | حمّامين ,2700000
التجمع الخامس,شقة للبيع ببيت الوطن التجمع الخامس,127,2,2,٢ غرفتا نوم | حمّامين ,2100000
مدينة نصر,شقه للبيع 265م بموقع متميز مدينه نصر,265,3,2,٣ غرف نوم | حمّامين ,3000000
مدينة الشروق,شقه ارضى مرتفع 281 متر امامى تحميل قديم المنطقه الثانيه,281,4,3,٤ غرف نوم | ٣ حمّامات ,2250000
القاهرة الجديدة,شقة سوبر لوكس,100,3,1,٣ غرف نوم | حمّام ,2
مدينة قباء,شقه للبيع بمدينة قباء جسر السويس - شرق القاهره,100,2,1,٢ غرفتا نوم | حمّام ,600000
مدينتي,"خد الشقة الفخامة دي واشتري مني شقة الماضي والحاضر والمستقبل وما بعده 
شقة روعة الشرح في الوصف إسفل",140,3,2,٣ غرف نوم | حمّامين ,4600000
مدينة السلام,شقق للبيع عقار جديد,125,3,2,٣ غرف نوم | حمّامين ,300000
العباسية,شقة في العباسية منطقة عبده باشا+ مطبخ كامل هديه,180,3,1,٣ غرف نوم | حمّام ,1300000
وسط القاهرة,وحده سكنيه للبيع,260,3,2,٣ غرف نوم | حمّامين ,2000000
الزيتون,شقه للبيع بجوار جسر السويس,100,2,1,٢ غرفتا نوم | حمّام ,1000000
التجمع الخامس,شقة للبيع بسعر لقطه لسرعه البيع بالتجمع الخامس بكومبواند الجمعية التعاونية لموظفي النيابة الإدارية,140,3,2,٣ غرف نوم | حمّامين ,1300000
جاردن سيتي,شقة للبيع او للايجار 350م فيو نيل جاردن سيتي,330,4,4,٤ غرف نوم | ٤ حمّامات ,8000000
العاصمة الإدارية الجديدة,استلم عالمفتاح شقه 134م متشطبه فى المقصد العاصمه الاداريه جنب البرج الايقونى,134,3,2,٣ غرف نوم | حمّامين ,380000
العاصمة الإدارية الجديدة,شقه لقطه لسرعه البيع بالتشطيب بالعاصمه الاداريه,137,2,2,٢ غرفتا نوم | حمّامين ,1650000
التجمع الخامس,شقة للبيع في كمبوند متكامل الخدمات عايش وساكن استلام فوري,220,3,3,٣ غرف نوم | ٣ حمّامات ,5445000
حدائق القبة,شقة 150 م للبيع في ارقي منطقة بحدائق القبة,150,3,2,٣ غرف نوم | حمّامين ,1800000
التجمع الأول,"بيزمنت البنفسج 2 فيلات التجمع الاول 
علي الشارع الرئيسي محور أحمد شوقي",220,3,2,٣ غرف نوم | حمّامين ,2300000
مصر القديمة,شقة للبيع بالتقسيط,127,3,2,٣ غرف نوم | حمّامين ,3000000
مدينة الرحاب,للبيع استوديو 55 متر بجاردن 55 متر بالفرش والاجهزة كلها في مدينة الرحاب,55,1,1,ستوديو | حمّام ,3200000
الزمالك,شقة للبيع في حي الزمالك كود  1000,240,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,#شقة_برووف خاص للبيع بالتقسيط #متشطبة_بالتكييفات في الجولدن اسكوير كمبوند Fifth square !,171,3,2,٣ غرف نوم | حمّامين ,1000000
التجمع الخامس,"بنت هاوس للبيع بقلب التجمع الخامس في كمبوند  متكامل الخدمات والمرافق يجوار   
Compound trio gradens",172,3,3,٣ غرف نوم | ٣ حمّامات ,8058000
عين شمس,شقة للبيع سكن,55,2,1,٢ غرفتا نوم | حمّام ,125
التجمع الخامس,شقه للبيع استلام فوري في التجمع بجانب الجامعه الامريكيه,240,4,3,٤ غرف نوم | ٣ حمّامات ,4000000
التجمع الخامس,شقه للبيع استلام فوري بمقدم 1.200.000 و الباقي بتسهيلات علي 5 سنوات,195,3,3,٣ غرف نوم | ٣ حمّامات ,1200000
المقطم,شقه للبيع في المقطم,90,2,1,٢ غرفتا نوم | حمّام ,950000
شيراتون,شقه دوبلكس 245م للبيع / تطل عالكليه الحربيه شيراتون,245,4,4,٤ غرف نوم | ٤ حمّامات ,3650000
مدينة نصر,شقه 225متر فمحطه ثروت الحديقه الدوليه نص تشطيب 4 او وممكن تتعمل 5 وحممين ومطبخ مدينه نصر عباس العقاد,225,4,2,٤ غرف نوم | حمّامين ,3200000
مدينة الشروق,d- شقه استلام فورى الشروق 160 متر جاهزه للمعاينه,0,1,1,,0
التجمع الخامس,"للبيع شقة بالتقسيط في كمبوند قلب التجمع الخامس من المراسم في 
GOLDEN SQUARE 
تشطيب كامل +التكفات",190,3,3,٣ غرف نوم | ٣ حمّامات ,1080000
العاصمة الإدارية الجديدة,شقة للبيع استلام فورى في قلب العاصمة الادارية 150م new capital city 150 m,150,3,3,٣ غرف نوم | ٣ حمّامات ,3352000
العاصمة الإدارية الجديدة,دوبلكس 481 مميز في العاصمة الادارية بتسهيلات حتي 8 سنوات,481,1,1,أكثر من 6 غرف | أكثر من 6 حمامات ,7032220
مدينة الرحاب,شقة مفروشة بالرحاب مساحة 250 متر وجاردن 60 متر,310,3,3,٣ غرف نوم | ٣ حمّامات ,7500000
التجمع الخامس,كمبوند الدوبلوماسين,310,1,5,أكثر من 6 غرف | ٥ حمّامات ,7000000
التجمع الخامس,شقه للبيع متشطبه بكمبوند في التجمع الخامس,130,3,2,٣ غرف نوم | حمّامين ,2350000
العاصمة الإدارية الجديدة,شقة 167م ارضى بجاردن 60م مميزه استلام سنتين بالتقسيط حتي 10 سنوات في الهعاصمة الادارية,167,3,3,٣ غرف نوم | ٣ حمّامات ,3550579
مدينة نصر,شقة 106م في مدينة نصر معمار المرشدي ديجلة تاورز قريبة جداً من كايرو فيستيفال سيتي,106,2,1,٢ غرفتا نوم | حمّام ,1100000
عين شمس,شارع أبو عبيدة متفرع احمد عصمت عين شمس ألشرقية,120,3,1,٣ غرف نوم | حمّام ,400
القاهرة الجديدة,شقة للبيع في كمباوند المراسم التجمع الخامس 189م متشطبة بالكامل بمقدم 5 % وتقسيط علي 8 سنوات,189,5,4,٥ غرف نوم | ٤ حمّامات ,16012360
القاهرة الجديدة,شقة للبيع في كمباوند المراسم التجمع الخامس 134م متشطبة بالكامل بمقدم 5 % وتقسيط علي 8 سنوات,134,2,3,٢ غرفتا نوم | ٣ حمّامات ,10398600
أخرى,شقه للبيع لم تسكن من قبل,190,3,2,٣ غرف نوم | حمّامين ,2000000
القاهرة الجديدة,شقة للبيع في كمباوند المراسم التجمع الخامس 197 م متشطبة بالكامل بمقدم 5 % وتقسيط علي 8 سنوات,197,3,3,٣ غرف نوم | ٣ حمّامات ,14235800
التجمع الخامس,بنتهاوس 189م متشطب بالتكيفات للبيع فى التجمع المراسم فيفث سكوير Fifth square ( خالد بن لادن ),189,3,2,٣ غرف نوم | حمّامين ,1490000
القاهرة الجديدة,شقة للبيع في كمباوند المراسم التجمع الخامس 149 م متشطبة بالكامل بمقدم 5 % وتقسيط علي 8 سنوات,149,2,3,٢ غرفتا نوم | ٣ حمّامات ,10735000
التجمع الخامس,شقة خلفي للبيع 177م باللوتس الجنوبية التجمع الخامس,177,3,2,٣ غرف نوم | حمّامين ,2300000
مدينتي,شقه للبيع بالسعر القديم 107 متر,107,3,2,٣ غرف نوم | حمّامين ,850000
المستقبل,شقة في احلي كمبوندبالقاهرة الجديدة بسعر حلو جدا,93,2,2,٢ غرفتا نوم | حمّامين ,0
التجمع الخامس,شقة خلفي للبيع 165م باللوتس الجنوبية التجمع الخامس,165,3,3,٣ غرف نوم | ٣ حمّامات ,1800000
التجمع الخامس,شقة لقطة بالنرجس الجديدة استلام فوري وقسط 5سنوات,190,3,3,٣ غرف نوم | ٣ حمّامات ,700000
التجمع الخامس,شقة للبيع بالنرجس فيلات التجمع الخامس,270,3,3,٣ غرف نوم | ٣ حمّامات ,4600000
التجمع الخامس,شقه للبيع التجمع الخامس المستثمرين عائلى 3,160,3,2,٣ غرف نوم | حمّامين ,1650000
عين شمس,شقه فرصه بعفيفى عفت عين شمس,100,3,1,٣ غرف نوم | حمّام ,450000
المطرية,شقه للبيع في موقف 43,140,3,1,٣ غرف نوم | حمّام ,700000
التجمع الخامس,شقة للبيع بالجمعية التعاونية لموظفي النيابة الإدارية بالتجمع الخامس,140,3,2,٣ غرف نوم | حمّامين ,1300000
القطامية,شقق استلام فوري مع مقدم 25٪,86,1,1,أكثر من 6 غرف | أكثر من 6 حمامات ,1500000
العبور,شقه للبيع كمبوند الفردوس قبل مدينه العبور 165 م للاستلام الفوري للتقسيط,165,3,2,٣ غرف نوم | حمّامين ,650000
بركه الحاج,شقة للبيع العنوان تمام شارع موسسة الزكاه الرئيسي او شارع التروللي امام عمارات النزهة 2,110,3,1,٣ غرف نوم | حمّام ,550000
مدينة نصر,شقه 100 متر سوبر لوكس,100,2,1,٢ غرفتا نوم | حمّام ,820000
اكتوبر الجديدة,اكتوبر طريق الوحات دجله بلمز المرشدي,80,2,1,٢ غرفتا نوم | حمّام ,0
مدينتي,فرصه بمدينتي استلام فوري عدد محدود قسط,133,3,2,٣ غرف نوم | حمّامين ,1050000
مدينة نصر,شقة للبيع في مدينة نصر,120,2,2,٢ غرفتا نوم | حمّامين ,1900000
المعادي,شقه مفروشه 3 غرف تطل على النيل مباشرة مسجله شهر عقاري,180,3,3,٣ غرف نوم | ٣ حمّامات ,5000000
مدينة نصر,شقه للبيع من المالك الاول تشطيب سوبرلوكس,220,3,2,٣ غرف نوم | حمّامين ,1000
مدينة بدر,شقه تشطيب سوبر لوكس في الحي المتميز مدينة بدر,165,3,2,٣ غرف نوم | حمّامين ,1200000
مدينة نصر,امتلك شقتك بأقل مقدم في افضل كمبوند علي مدخل التجمع الخامس و قريب من كل المناطق المهمه,111,3,2,٣ غرف نوم | حمّامين ,150000
العاصمة الإدارية الجديدة,شقه ريسيل للبيع غرفتين باقل من سعر الشركة في العاصمه الادارية,133,2,2,٢ غرفتا نوم | حمّامين ,662000
أخرى,بيع شقه بالمطبخ والتكيف,175,3,2,٣ غرف نوم | حمّامين ,1100000
القاهرة الجديدة,استلام فوري متشطب,150,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,شقق للبيع في اللوتس الشمالية التجمع واجهة أمامية,185,3,1,٣ غرف نوم | حمّام ,2900000
التجمع الخامس,شقة للبيع في النرجس الجديدة,160,3,2,٣ غرف نوم | حمّامين ,2720000
اكتوبر الجديدة,Duplex 224m,224,4,4,٤ غرف نوم | ٤ حمّامات ,5376000
العاصمة الإدارية الجديدة,شقه لقطه لقطه للبيع بالتشطيب بالعاصمه الاداريه,137,2,2,٢ غرفتا نوم | حمّامين ,1650000
حدائق القبة,شقه ممتازة حدائق القبه,140,3,2,٣ غرف نوم | حمّامين ,1600000
القاهرة الجديدة,دوبلكس بجاردن للبيع داخل كمبوند متشطب بالكامل,217,4,3,٤ غرف نوم | ٣ حمّامات ,0
مدينة الشروق,للبيع من المالك مباشر روف كامل به شقه كبيره,470,4,3,٤ غرف نوم | ٣ حمّامات ,2000000
العاصمة الإدارية الجديدة,دوبلكس 288 م في العاصمة الادارية بالتقسيط علي 10 سنوات وخصم عالي في حالة الكاش,288,4,4,٤ غرف نوم | ٤ حمّامات ,3206225
القاهرة الجديدة,بنتهاوس 17م للبيع في المراسم التجمع شركة بن لادن,170,3,2,٣ غرف نوم | حمّامين ,1000000
المعادي,شقة فندقيه 261م لسرعة البيع بانورما كاملة علي النيل باقساط متساوية,261,3,2,٣ غرف نوم | حمّامين ,6000000
العاصمة الإدارية الجديدة,البوسكو العاصمه الاداريه,154,3,3,٣ غرف نوم | ٣ حمّامات ,3820000
التجمع الخامس,"بنتهاوس للبيع بالنرجس 
لهواة الهدوء والتمتع باطلالة مميزة",210,3,2,٣ غرف نوم | حمّامين ,3000000
زهراء المعادي,ريحانه افنيو زهراء المعادي أمام نادي وادي دجله يعني في قلب زهراء المعادي,0,1,1,غرفة نوم | حمّام ,168714
مدينة نصر,شقة الترا سوبر لوكس مدينة نصر خلف الحديقة الدولية,150,2,2,٢ غرفتا نوم | حمّامين ,2300000
وسط القاهرة,شقة للبيع في فيصل,150,3,1,٣ غرف نوم | حمّام ,800070
التجمع الخامس,شقة للبيع بالنرجس عمارات-التجمع الخامس,155,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,شقة للبيع بالتجمع الخامس باللوتس الشمالية,1000,3,3,٣ غرف نوم | ٣ حمّامات ,2600000
مدينتي,للبيع بمدينتي شقق استلام فوري و قسط فرصه,90,2,2,٢ غرفتا نوم | حمّامين ,700000
مدينتي,للبيع بمدينتي 133م b11 بسعر مميز,133,3,2,٣ غرف نوم | حمّامين ,3700000
مدينتي,للبيع 96م تشيب فندقي وايد جاردن بمدينتي,96,2,2,٢ غرفتا نوم | حمّامين ,3100000
المطرية,#مكتب_مكه_للأستثمار_العقاري_بأرض_الشركه,150,3,1,٣ غرف نوم | حمّام ,700000
المعادي,للبيع شقه شايفه النيل كله في كورنيش دار السلام,200,3,2,٣ غرف نوم | حمّامين ,1800000
المطرية,شقه_تمليك  الدور التالت  مساحتها 80 متر,85,2,1,٢ غرفتا نوم | حمّام ,430000
المرج,شقه للبيع في المرج,100,2,1,٢ غرفتا نوم | حمّام ,350
التجمع الأول,دوبلكس للبيع 500م منتجع النخيل التجمع الاول تشطيب الترا سوبر لوكس مدخل خاص جاردن 125م غرفه خارجيه,500,4,3,٤ غرف نوم | ٣ حمّامات ,8000000
مدينة نصر,شقه للبيع بمصطفى النحاس,158,3,2,٣ غرف نوم | حمّامين ,2600000
مدينة نصر,شقه على شارع الخليفه المامون,250,3,2,٣ غرف نوم | حمّامين ,3500000
مصر الجديدة,شقه للبيع تشطيب سوبر لوكس,125,3,1,٣ غرف نوم | حمّام ,0
مدينة نصر,شقه م.نصر احمد الزمر,225,2,4,٢ غرفتا نوم | ٤ حمّامات ,2700000
مدينة نصر,شقه فى م.نصر المنطقه الاولى,165,3,2,٣ غرف نوم | حمّامين ,3200000
التجمع الخامس,للبيع شقة بجاردن 158م بموقع مميز بالتجمع الخامس,158,3,3,٣ غرف نوم | ٣ حمّامات ,4898000
التجمع الخامس,شقة بالتجمع الخامس استلام فورى ترى النادى الأهلي الجديد,205,3,3,٣ غرف نوم | ٣ حمّامات ,3485000
التجمع الخامس,"شقة 225 متر التجمع الخامس المستثمرين الجنوبية عائلي 3 
دور ثالث بدون اسانسير 
3 غرف 
2 حمام 
ريسبشن",225,3,2,٣ غرف نوم | حمّامين ,3500000
النزهة,شقه في النزهه 2 المساحه 150م,150,3,2,٣ غرف نوم | حمّامين ,350000
التجمع الخامس,شقه للبيع في التجمع الخامس كمبوند مراسم,121,2,3,٢ غرفتا نوم | ٣ حمّامات ,340000
العاصمة الإدارية الجديدة,شقة لقطة بالعاصمة الادارية,130,3,2,٣ غرف نوم | حمّامين ,2200000
مدينتي,للبيع بمدينتي 165م قسط/استلام فوري :فرصه,165,3,3,٣ غرف نوم | ٣ حمّامات ,1700000
مدينة نصر,الحي العاشر مدينه نصر,195,3,2,٣ غرف نوم | حمّامين ,0
القاهرة الجديدة,شقه للبيع في أرض الجمعيات لظباط الشرطه بالتجمع الخامس,132,3,2,٣ غرف نوم | حمّامين ,1500000
مدينتي,للبيع النموذج الذكي 90م بمدينتي قسط استلام فوري,90,2,2,٢ غرفتا نوم | حمّامين ,550000
مدينتي,للبيع احدث مراحل مدينتي استلام فوري 77م قسط!,77,2,1,٢ غرفتا نوم | حمّام ,575000
الزمالك,شقة مميزة للبيع بش المقريزى الزمالك,175,3,2,٣ غرف نوم | حمّامين ,6500000
العاصمة الإدارية الجديدة,capital gardens.....حدائق العاصمة,171,3,3,٣ غرف نوم | ٣ حمّامات ,1
العاصمة الإدارية الجديدة, امتلك شقتك بمقدم 200 الف في #العاصمة_الادارية في لوكيشن تحفة جدا علي المحور المركزى,114,2,2,٢ غرفتا نوم | حمّامين ,200000
مصر الجديدة,شقه سوبر لوكس,200,3,3,٣ غرف نوم | ٣ حمّامات ,4000000
العاصمة الإدارية الجديدة,"شقتك في #العاصمة_الادارية بمقدم 285,000 و اقساط متساوية علي 10 سنوات",113,2,2,٢ غرفتا نوم | حمّامين ,280000
العاصمة الإدارية الجديدة,استلم شقتك #فوري #متشطبة بمقدم 124 الف في  #العاصمة_الادارية و اقساط علي 10 سنوات,132,3,3,٣ غرف نوم | ٣ حمّامات ,124000
العاصمة الإدارية الجديدة,شقه استلام فوري,217,4,4,٤ غرف نوم | ٤ حمّامات ,7350000
مدينة الشروق,شقه ارضى مرتفع 281 متر تحميل قديم وجه امامى بحرى مدينه الشروق بحديقه جانبيه و مدخل خاص,281,4,3,٤ غرف نوم | ٣ حمّامات ,2250000
مدينة نصر,للتمليك شقه من ابوداودالظاهري وحديقه الطفل200م  ,200,3,2,٣ غرف نوم | حمّامين ,2200000
مدينة نصر,كمبوند دجله لاند مارك بمدينه الواحه مدينه نصر 5 دقائق من شارع التسعين و دقائق من شارع عباس العقاد,110,2,1,٢ غرفتا نوم | حمّام ,1600000
هليوبوليس الجديدة,شقه بكمبوند لافيدا هليوبوليس,137,3,2,٣ غرف نوم | حمّامين ,1600000
التجمع الخامس,شقة  لقطة .. (3غرف +2حمام) .. بمقدم 390الف فقط .. وقسط شهري بسيط علي 8 سنين ..,156,3,2,٣ غرف نوم | حمّامين ,390000
التجمع الخامس,شقة 110م .. غرفتين و2 حمام .. بكمبوند قريب جدا من الشروق .. بالتقسيط .. بدون فوائد ..,110,2,2,٢ غرفتا نوم | حمّامين ,309000
العاصمة الإدارية الجديدة,شقة للبيع في العاصمة الادارية,200,4,2,٤ غرف نوم | حمّامين ,3500000
التجمع الأول,شقة صغنونة .. (دور ارضي + 39م جاردن) .. بقسط كل 3 شهور 53الف .. بالقاهرة الجديدة,79,1,2,ستوديو | حمّامين ,800000
التجمع الخامس,بالسعر القديم واستلام فوري ف قلب التجمع الخامس وبالتقسيط ع 6سنين ،عاين بنفسك.,133,2,2,٢ غرفتا نوم | حمّامين ,650000
القاهرة الجديدة,"بمقدم 7% امتلك شقتك وقسط الباقي على 7 سنوات بدون دفعات او فوائد
في التجمع الخامس",158,3,2,٣ غرف نوم | حمّامين ,3476000
القاهرة الجديدة,شقة 3 غرف نصف تشطيب في التجمع الخامس 139 م تقسيط علي 7 سنوات,139,3,2,٣ غرف نوم | حمّامين ,4600000
أخرى,شقه للبيع جسر السويس,125000,3,1,٣ غرف نوم | حمّام ,1200000
القاهرة الجديدة,semi  finished apartment for sale in new cairo 169 m over 10 years installment,169,3,3,٣ غرف نوم | ٣ حمّامات ,6791000
التجمع الخامس,أستفيد بأعلى خصم على الكاش  فى كمبوند تريو جاردنز التجمع الخامس,135,2,2,٢ غرفتا نوم | حمّامين ,693000
مدينة نصر,شارع الخمسين الرئيسى بحى الواحة مدينة نصر بموقع ممتاز بجوار المانورل  ومحور شينزو ابى اتجاه طريق الس,150,4,2,٤ غرف نوم | حمّامين ,1155000
التجمع الخامس,شقة 132م .. بمقدم 362الف .. غرفتين +2حمام .. بالتقسيط .. بجوار مدينتي ..,132,2,2,٢ غرفتا نوم | حمّامين ,362000
مدينة بدر,شقه استلام فوري في الحي المتميز مدينه بدر,150,3,2,٣ غرف نوم | حمّامين ,850000
القاهرة الجديدة,شقة 145 م للبيع في التجمع الخامس تقسيط حتي 8 سنوات نصف تشطيب,145,3,3,٣ غرف نوم | ٣ حمّامات ,4878800
مدينة نصر,شقه للبيع في المنطقه الاولي,180,3,2,٣ غرف نوم | حمّامين ,0
مدينة نصر,شقة للبيع في مدينة نصر خلف دار الدفاع الجوي,106,3,1,٣ غرف نوم | حمّام ,1900000
التجمع الخامس,للبيع بنتهاوس بحمام سباحة استلام فوري داخل كمبوند في التجمع الخامس,171,3,3,٣ غرف نوم | ٣ حمّامات ,0
القاهرة الجديدة,شقة للبيع متشطبة بالكامل في التجمع 145 م بالتقسيط حتي 5 سنوات for sale in new cairo,145,2,3,٢ غرفتا نوم | ٣ حمّامات ,7811880
المقطم,"امتلك شقتك بالهضبة الوسطي بمقدم 270,000",94,2,2,٢ غرفتا نوم | حمّامين ,1300000
مدينة بدر,شقة للبيع في بدر 180 متر بالحي الثاني بموقع مميز,225,3,3,٣ غرف نوم | ٣ حمّامات ,850000
المقطم,شقة للبيع 165م بتقسيم المباحث الهضبه الوسطى,165,3,3,٣ غرف نوم | ٣ حمّامات ,1700000
العاصمة الإدارية الجديدة,شقة للبيع 180 م باقل سعر في العاصمة الادارية ونظام تقسيط يصل الي 12 سنة بدون فوائد,180,3,3,٣ غرف نوم | ٣ حمّامات ,2800000
مدينة نصر,شقة للبيع بعباس العقاد الرئيسى امام كوستا كافية,176,3,2,٣ غرف نوم | حمّامين ,3500000
العاصمة الإدارية الجديدة,شقة مميز جدا في العاصمة الاداريه بالتقسيط علي 10 سنوات ومقدمات تبدا من 10 %,185,3,3,٣ غرف نوم | ٣ حمّامات ,3582500
القاهرة الجديدة,شقه 110م للبيع في #القاهره_الجديده بمقدم 294 الف بس,110,2,3,٢ غرفتا نوم | ٣ حمّامات ,294000
التجمع الخامس,كمبوند تاج سلطان,128,2,2,٢ غرفتا نوم | حمّامين ,1500000
مدينة نصر,للبيع شقه بمساحه120 متر,120,3,1,٣ غرف نوم | حمّام ,1000900
مدينة نصر,دوبلكس للبيع على مساحة 500 م فى مكرم عبيد مدينة نصر,500,5,5,٥ غرف نوم | ٥ حمّامات ,7000000
مدينة قباء,شقة سوبر لوكس في قباء مربع ميدو,145,3,2,٣ غرف نوم | حمّامين ,720000
مدينة قباء,شقة سوبر لوكس في قباء مربع ميدو,145,3,2,٣ غرف نوم | حمّامين ,720000
مدينة نصر,شقه  للبيع   فى مدينة نصر موقع متميز  بالمنطقة الاولي,280,3,3,٣ غرف نوم | ٣ حمّامات ,3500000
التجمع الخامس,دوبلكس 350م+باك يارد+مدخل خاص للبيع فى الحى الاول بالتجمع الخامس (ارضي واول) قريب من مدارس اخناتون--,350,4,3,٤ غرف نوم | ٣ حمّامات ,5500000
